HS2002,SITCR2
370293,88222
370294,88222
370295,88222
370310,88223
370320,88223
370390,88223
370400,88224
370510,88225
370520,88225
370590,88225
370610,8830
370690,8830
370710,8821
370790,8821
380110,59832
380120,59832
380130,59899
380190,59899
380210,59892
380290,59892
380300,59811
380400,59812
380510,59813
380520,59813
380590,59813
380610,59814
380620,59814
380630,5851
380690,59814
380700,59819
380810,5911
380820,5912
380830,5913
380840,59141
380890,59149
380910,59891
380991,59891
380992,59891
380993,59891
381010,59896
381090,59896
381111,5982
381119,5982
381121,5982
381129,5982
381190,5982
381210,59833
381220,59899
381230,59899
381300,59894
381400,59897
381511,59898
381512,59898
381519,59898
381590,59898
381600,66233
381700,59899
381800,59899
381900,59899
382000,59899
382100,59893
382200,59899
382311,43131
382312,43131
382313,43131
382319,43131
382370,51217
382410,59899
382420,59899
382430,59899
382440,59899
382450,59899
382460,59899
382471,59899
382479,59899
382490,59899
382510,59899
382520,59899
382530,87202
382541,59899
382549,59899
382550,59899
382561,59899
382569,59899
382590,59899
390110,58311
390120,58311
390130,5839
390190,5839
390210,58321
390220,5839
390230,5839
390290,5839
390311,58331
390319,58331
390320,58331
390330,58331
390390,58331
390410,58341
390421,58341
390422,58341
390430,58351
390440,5839
390450,5839
390461,5839
390469,5839
390490,5839
390512,5837
390519,5837
390521,5837
390529,5837
390530,5839
390591,5839
390599,5839
390610,58361
390690,58361
390710,5829
390720,5829
390730,58261
390740,58231
390750,58231
390760,58231
390791,58231
390799,58231
390810,58241
390890,58241
390910,58221
390920,58221
390930,58221
390940,58211
390950,58251
391000,5827
391110,5839
391190,5839
391211,58431
391212,58432
391220,5842
391231,5849
391239,5849
391290,5849
391310,58522
391390,5851
391400,5838
391510,58319
391520,58339
391530,58349
391590,5839
391610,58312
391620,58342
391690,58249
391710,58521
391721,58312
391722,89399
391723,58342
391729,89399
391731,58249
391732,58312
391733,89399
391739,89399
391740,89399
391810,89391
391890,89392
391910,5839
391990,89286
392010,58313
392020,58322
392030,58333
392043,58343
392049,58343
392051,58362
392059,58362
392061,58232
392062,58232
